dias;S;I;R;N
285;-256.09304275573595;1042.8741293524934;213.21891340324385;1000.0000000000013
286;545.125384235621;482.89732654982015;-28.02271078544001;1000.0000000000011
287;-244.59338780985354;1034.9653652580337;209.6280225518212;1000.0000000000014
288;514.8436670531213;504.21111369165965;-19.054780744779663;1000.0000000000013
289;-263.92602917273564;1048.6741969093648;215.25183226337214;1000.0000000000014
290;566.3912208858527;468.34071416181393;-34.73193504766542;1000.0000000000013
291;-229.40098576813318;1024.614330690013;204.7866550781212;1000.0000000000011
292;475.7416267092018;531.8329675208918;-7.574594230092401;1000.0000000000011
293;-283.30361660871165;1062.5646335278393;220.7389830808734;1000.000000000001
294;619.78159406813;431.32907226825034;-51.11066633637918;1000.0000000000011
295;-182.20786586690144;991.8303691534768;190.37749671342598;1000.0000000000014
296;359.9500187294067;613.0414170373285;27.008564233266156;1000.0000000000014
297;-302.0427899040586;1076.0664187418163;225.9763711622437;1000.0000000000014
298;673.011519812483;394.48612286195566;-67.49764267443715;1000.0000000000016
299;-123.46959546429309;951.020938648767;172.44865681552764;1000.0000000000016
300;228.7969162548136;705.0353974180833;66.16768632710462;1000.0000000000016
301;-255.13285808441975;1043.6767132350724;211.4561448493488;1000.0000000000015
302;543.6958102070323;485.356074021465;-29.051884228495965;1000.0000000000014
303;-247.96238150498198;1038.7699851877971;209.1923963171863;1000.0000000000015
304;524.7652565842012;498.70460010703584;-23.46985669123555;1000.0000000000015
305;-260.3432857204692;1047.5706464099767;212.77263931049376;1000.0000000000013
306;557.8406666115984;475.70926288491376;-33.54992949651103;1000.000000000001
307;-238.26925035149884;1032.2085461307283;206.06070422077173;1000.0000000000013
308;499.5614191274386;516.5494152873283;-16.110834414765776;1000.0000000000011
309;-274.58305772372046;1057.7890021581195;216.7940555656022;1000.0000000000013
310;596.7697581935784;448.7353885139428;-45.50514670751977;1000.0000000000014
311;-206.60536969552288;1010.2396963274321;196.36567336809227;1000.0000000000015
312;419.5574681269428;572.6827612156915;7.75977065736717;1000.0000000000015
313;-301.26251987986336;1076.7539079951564;224.50861188470847;1000.0000000000015
314;671.8942669594708;396.4879808065898;-68.38224776605901;1000.0000000000016
